Year,Average wage (RON),Inflation,CPI-1991,CPI-2023,Real Average Wage (RON) - 2023 prices
1991,0.764775,170.2,1.0,0.00046069720013361187,1660
1992,2.0172333333333334,210.4,3.104,0.0014300041092147314,1410
1993,6.110216666666666,256.1,11.053344000000001,0.005092244632913659,1199
1994,14.011266666666666,136.7,26.163265248000002,0.01205334304610663,1162
1995,21.562483333333333,32.3,34.613999923104004,0.01594657284999907,1352
1996,32.19868333333333,38.8,48.04423189326835,0.022133843115798708,1454
1997,63.68214166666666,154.8,122.41670286404776,0.05639703225905511,1129
1998,107.38980833333332,59.099999999999994,194.7649742567,0.08972767832415668,1196
1999,155.47365,45.8,283.96733246626854,0.13082295499662044,1188
2000,217.34780833333335,45.7,413.7404034033533,0.190609045430076,1140
2001,305.359775,34.5,556.4808425775102,0.25636916610345223,1191
2002,388.11783333333335,22.5,681.68903215745,0.314052228476729,1235
2003,486.81035,15.299999999999999,785.9874540775398,0.3621022194336685,1344
2004,596.5285166666667,11.9,879.5199611127671,0.40519238354627507,1472
2005,737.8333333333334,9.0,958.6767576129162,0.44165969806543987,1670
2006,862.0,6.6000000000000005,1021.9494236153687,0.47080923813775893,1830
2007,1042.9166666666667,4.8,1071.0029959489063,0.4934080815683714,2113
2008,1282.25,7.9,1155.6122326288698,0.5323873200122727,2408
2009,1381.0833333333333,5.6,1220.3265176560867,0.5622010099329601,2456
2010,1406.5833333333333,6.1,1294.766435233108,0.5964952715388706,2358
2011,1475.0833333333333,5.8,1369.8628884766283,0.6310919972881252,2337
2012,1547.4166666666667,3.3000000000000003,1415.0683637963568,0.6519180331986332,2373
2013,1622.4166666666667,4.0,1471.6710983482112,0.6779947545265785,2392
2014,1706.25,1.1,1487.8594804300415,0.6854526968263708,2489
2015,1848.25,-0.6,1478.9323235474612,0.6813399806454126,2712
2016,2087.75,-1.5,1456.7483386942492,0.6711198809357314,3110
2017,2383.5833333333335,1.3,1475.6860670972744,0.6798444393878958,3506
2018,2695.5833333333335,4.6,1543.567626183749,0.7111172835997391,3790
2019,3098.5,3.8,1602.2231959787316,0.7381397403765293,4197
2020,3307.1666666666665,2.6,1643.8809990741786,0.7573313736263191,4366
2021,3543.1666666666665,5.1,1727.7189300269615,0.7959552736812613,4451
2022,3973.8333333333335,13.8,1966.144142370682,0.9057971014492753,4387
2023,4584.166666666667,10.4,2170.623133177233,1.0,4584
